year,quarter,region,age_group,labor_force_sta,value,unit,source
2561,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,รวม,0.37,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,หางานทำ,0.17,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,0.2,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,รวม,1.83,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,หางานทำ,0.11,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,1.72,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ภาคเหนือ,60 ปีขึ้นไป,รวม,2.09,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,2.09,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ภาคเหนือ,60 ปีขึ้นไป,รวม,1.23,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,1.23,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,รวม,0.8,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,0.8,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,รวม,2.06,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,หางานทำ,0.89,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,1.17,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ภาคเหนือ,60 ปีขึ้นไป,รวม,1.07,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,1.07,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ภาคเหนือ,60 ปีขึ้นไป,รวม,2.43,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ภาคเหนือ,60 ปีขึ้นไป,หางานทำ,0.19,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,2.24,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,รวม,3.31,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,หางานทำ,0.27,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,3.04,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,รวม,3.32,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,หางานทำ,0.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ภาคเหนือ,60 ปีขึ้นไป,ไม่หางานทำ/พร้อมที่จะทำงาน,2.62,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,107.08,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,24.61,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,82.48,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,90.44,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,23.9,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,66.54,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,78.66,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,13.39,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,65.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,73.33,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,16.95,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,56.38,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,97.27,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,13.65,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,83.62,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,90.53,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,24.33,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,66.2,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,68.43,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,11.02,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,57.41,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,41.33,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,10.74,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,30.59,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,75.61,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,15.87,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,59.74,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,93.53,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,13.09,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,80.44,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,79.33,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,19.94,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,59.39,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,52.26,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,5.44,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,46.83,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,39.43,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,4.69,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,34.73,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,97.03,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,11.44,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,85.6,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,81.63,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,10.53,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,71.1,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,79.37,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,9.37,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,70,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,147.58,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,29.27,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,118.31,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,110.74,พันคน,สำนักงานสถิติแห่งชาติ
